check_name,table,field,source_row,record_id,count,details
source_sheet_names,workbook,,,,2.0,"[""M2_WORKS_MASTER"", ""M2_EXPENDITURE_TRANSACTIONS""]"
source_filename,workbook,,,,1.0,Madhya Pradesh.xlsx
resolved_works_source_sheet,works,,,,1.0,M2_WORKS_MASTER
resolved_expenditure_source_sheet,expenditure,,,,1.0,M2_EXPENDITURE_TRANSACTIONS
source_header_row,works,,,,1.0,
source_header_row,expenditure,,,,1.0,
pre_header_non_data_row_count,works,,,,0.0,
pre_header_non_data_row_count,expenditure,,,,0.0,
blank_row_count_after_header,works,,,,0.0,
blank_row_count_after_header,expenditure,,,,0.0,
source_row_count,works,,,,200.0,
source_columns,works,,,,17.0,"[""Work_ID"", ""Lok_Sabha"", ""State"", ""Constituency"", ""MP_Name"", ""Work_Category"", ""Work"", ""Work_Description"", ""IDA"", ""Recommended_Date"", ""Recommended_Amount"", ""Sanction_Date"", ""Sanction_Amount"", ""Work_Status"", ""Completion_Date"", ""Amount_Disbursed"", ""Data_Notes""]"
source_missing_value_count,works,Work_ID,,,0.0,
source_missing_value_count,works,Lok_Sabha,,,0.0,
source_missing_value_count,works,State,,,0.0,
source_missing_value_count,works,Constituency,,,0.0,
source_missing_value_count,works,MP_Name,,,0.0,
source_missing_value_count,works,Work_Category,,,0.0,
source_missing_value_count,works,Work,,,0.0,
source_missing_value_count,works,Work_Description,,,2.0,
source_missing_value_count,works,IDA,,,0.0,
source_missing_value_count,works,Recommended_Date,,,2.0,
source_missing_value_count,works,Recommended_Amount,,,2.0,
source_missing_value_count,works,Sanction_Date,,,0.0,
source_missing_value_count,works,Sanction_Amount,,,0.0,
source_missing_value_count,works,Work_Status,,,0.0,
source_missing_value_count,works,Completion_Date,,,145.0,
source_missing_value_count,works,Amount_Disbursed,,,145.0,
source_missing_value_count,works,Data_Notes,,,55.0,
source_row_count,expenditure,,,,251.0,
source_columns,expenditure,,,,9.0,"[""Work_ID"", ""State"", ""MP_Name"", ""Constituency"", ""Expenditure_Date"", ""Vendor_Name"", ""Payment_Status"", ""Fund_Disbursed_Amount"", ""Data_Notes""]"
source_missing_value_count,expenditure,Work_ID,,,0.0,
source_missing_value_count,expenditure,State,,,0.0,
source_missing_value_count,expenditure,MP_Name,,,0.0,
source_missing_value_count,expenditure,Constituency,,,0.0,
source_missing_value_count,expenditure,Expenditure_Date,,,0.0,
source_missing_value_count,expenditure,Vendor_Name,,,0.0,
source_missing_value_count,expenditure,Payment_Status,,,0.0,
source_missing_value_count,expenditure,Fund_Disbursed_Amount,,,0.0,
source_missing_value_count,expenditure,Data_Notes,,,239.0,
source_expenditure_transaction_count,expenditure,,,,251.0,
invalid_unparseable_date_count,works,recommended_date,,,0.0,
invalid_unparseable_date_count,works,sanction_date,,,0.0,
invalid_unparseable_date_count,works,completion_date,,,0.0,
invalid_unparseable_date_count,expenditure,expenditure_date,,,0.0,
invalid_non_numeric_monetary_value_count,works,recommended_amount,,,0.0,
invalid_non_numeric_monetary_value_count,works,sanction_amount,,,0.0,
invalid_non_numeric_monetary_value_count,works,amount_disbursed,,,0.0,
invalid_non_numeric_monetary_value_count,expenditure,fund_disbursed_amount,,,0.0,
work_id_is_unique,works,work_id,,,1.0,1 means unique; 0 means duplicate IDs are present
duplicate_work_id_count,works,work_id,,,0.0,
every_expenditure_work_id_exists_in_works,expenditure,work_id,,,1.0,1 means all matched; 0 means unmatched records are present
unmatched_expenditure_record_count,expenditure,work_id,,,0.0,
matched_expenditure_record_count,expenditure,work_id,,,251.0,
distinct_unmatched_expenditure_work_id_count,expenditure,work_id,,,0.0,
distinct_matched_expenditure_work_id_count,expenditure,work_id,,,150.0,
exact_duplicate_transaction_row,expenditure,,3.0,EXP-000002,1.0,"Group DUP-B6520139F4A44D08; retained, not removed."
exact_duplicate_transaction_row,expenditure,,4.0,EXP-000003,1.0,"Group DUP-B6520139F4A44D08; retained, not removed."
exact_duplicate_transaction_row,expenditure,,5.0,EXP-000004,1.0,"Group DUP-29BEF5423D7C8025; retained, not removed."
exact_duplicate_transaction_row,expenditure,,6.0,EXP-000005,1.0,"Group DUP-29BEF5423D7C8025; retained, not removed."
exact_duplicate_transaction_row,expenditure,,7.0,EXP-000006,1.0,"Group DUP-80A8186B172B8FFE; retained, not removed."
exact_duplicate_transaction_row,expenditure,,8.0,EXP-000007,1.0,"Group DUP-80A8186B172B8FFE; retained, not removed."
exact_duplicate_transaction_row,expenditure,,9.0,EXP-000008,1.0,"Group DUP-794DF38C3A94EC33; retained, not removed."
exact_duplicate_transaction_row,expenditure,,10.0,EXP-000009,1.0,"Group DUP-794DF38C3A94EC33; retained, not removed."
exact_duplicate_transaction_row,expenditure,,13.0,EXP-000012,1.0,"Group DUP-2CCB995ED1B8073E; retained, not removed."
exact_duplicate_transaction_row,expenditure,,14.0,EXP-000013,1.0,"Group DUP-2CCB995ED1B8073E; retained, not removed."
exact_duplicate_transaction_row,expenditure,,216.0,EXP-000215,1.0,"Group DUP-451B86348C3C0FDE; retained, not removed."
exact_duplicate_transaction_row,expenditure,,219.0,EXP-000218,1.0,"Group DUP-451B86348C3C0FDE; retained, not removed."
