work_id,total_expenditure,expenditure_transaction_count,unique_vendor_count,duplicate_transaction_count,duplicate_group_count,potential_duplicate_amount_total,days_to_sanction,days_to_completion,expenditure_vs_sanction_ratio,disbursement_vs_sanction_ratio,last_expenditure_date,days_since_last_expenditure,expenditure_exceeds_sanction,disbursement_exceeds_sanction,completed_without_completion_date,completed_without_disbursement,expenditure_without_matching_work,high_transaction_count,multiple_vendors,has_potential_duplicate_transaction,potential_duplicate_transaction
WS/MP18098/2024-2025/180413,190546.0,1,1,0,0,0.0,21,75,1.0,1.0,2025-05-22,471,False,False,False,False,False,False,False,False,False
WS/MP18098/2024-2025/180437,2499838.0,15,1,10,5,848985.0,21,,0.9999352,,2025-05-24,469,False,False,False,False,False,True,False,True,True
WS/MP18098/2025-2026/176785,247537.0,1,1,0,0,0.0,69,270,1.0,1.0,2025-11-18,291,False,False,False,False,False,False,False,False,False
WS/MP18098/2025-2026/195616,496300.0,2,1,0,0,0.0,36,142,0.9926,0.9926,2025-09-19,351,False,False,False,False,False,False,False,False,False
WS/MP18098/2026-2027/269785,199604.0,1,1,0,0,0.0,41,,1.0,,2026-06-18,79,False,False,False,False,False,False,False,False,False
WS/MP18098/2026-2027/269823,,0,0,0,0,0.0,41,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18098/2026-2027/272623,,0,0,0,0,0.0,54,,,,,,False,False,False,False,False,False,False,False,False
WS/MP444/2024-2025/146251,190546.0,1,1,0,0,0.0,79,478,1.0,1.0,2025-07-17,415,False,False,False,False,False,False,False,False,False
WS/MP444/2024-2025/165415,331800.0,3,2,0,0,0.0,14,,0.3318,,2025-11-04,305,False,False,False,False,False,False,True,False,False
WS/MP444/2025-2026/193985,99950.0,3,2,0,0,0.0,45,,0.3998,,2026-03-17,172,False,False,False,False,False,False,True,False,False
WS/MP444/2025-2026/194018,,0,0,0,0,0.0,78,,,,,,False,False,False,False,False,False,False,False,False
WS/MP444/2025-2026/208017,1000000.0,2,1,0,0,0.0,55,,1.0,,2026-05-19,109,False,False,False,False,False,False,False,False,False
WS/MP444/2025-2026/231609,474821.0,2,1,0,0,0.0,73,,1.0,,2026-05-19,109,False,False,False,False,False,False,False,False,False
WS/MP444/2025-2026/245624,,0,0,0,0,0.0,9,,,,,,False,False,False,False,False,False,False,False,False
WS/MP444/2026-2027/288965,,0,0,0,0,0.0,42,,,,,,False,False,False,False,False,False,False,False,False
WS/MP655/2025-2026/201504,99802.0,1,1,0,0,0.0,93,,0.5,,2025-09-11,359,False,False,False,False,False,False,False,False,False
WS/MP655/2025-2026/201506,199604.0,2,1,0,0,0.0,93,212,1.0,1.0,2025-12-18,261,False,False,False,False,False,False,False,False,False
WS/MP655/2025-2026/226820,199604.0,2,1,0,0,0.0,8,127,1.0,1.0,2025-12-18,261,False,False,False,False,False,False,False,False,False
WS/MP655/2025-2026/225191,199604.0,2,1,0,0,0.0,23,181,1.0,1.0,2026-02-02,215,False,False,False,False,False,False,False,False,False
WS/MP655/2025-2026/258104,386145.0,1,1,0,0,0.0,28,,0.5,,2026-02-25,192,False,False,False,False,False,False,False,False,False
WS/MP655/2025-2026/258248,386145.0,1,1,0,0,0.0,38,,0.5,,2026-03-10,179,False,False,False,False,False,False,False,False,False
WS/MP655/2025-2026/258303,386145.0,1,1,0,0,0.0,38,,0.5,,2026-03-10,179,False,False,False,False,False,False,False,False,False
WS/MP18099/2024-2025/175434,954936.0,1,1,0,0,0.0,32,,0.8681236363636363,,2025-08-20,381,False,False,False,False,False,False,False,False,False
WS/MP18099/2025-2026/176443,3500000.0,1,1,0,0,0.0,57,,0.7,,2025-07-05,427,False,False,False,False,False,False,False,False,False
WS/MP18099/2025-2026/218950,433324.0,1,1,0,0,0.0,28,,0.4377010101010101,,2026-06-18,79,False,False,False,False,False,False,False,False,False
WS/MP18099/2025-2026/225206,974306.0,2,1,0,0,0.0,30,373,0.9762585170340682,0.9762585170340682,2026-08-13,23,False,False,False,False,False,False,False,False,False
WS/MP18099/2025-2026/223072,,0,0,0,0,0.0,90,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18099/2025-2026/255518,750000.0,1,1,0,0,0.0,41,,0.5,,2026-04-16,142,False,False,False,False,False,False,False,False,False
WS/MP18099/2026-2027/269942,250000.0,1,1,0,0,0.0,47,,0.5,,2026-05-29,99,False,False,False,False,False,False,False,False,False
WS/MP18099/2026-2027/274490,,0,0,0,0,0.0,94,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18099/2026-2027/281679,700000.0,1,1,0,0,0.0,87,,0.7,,2026-08-24,12,False,False,False,False,False,False,False,False,False
WS/MP18100/2024-2025/151652,150000.0,2,1,0,0,0.0,31,446,1.0,1.0,2025-07-21,411,False,False,False,False,False,False,False,False,False
WS/MP18100/2024-2025/167244,150000.0,2,1,0,0,0.0,37,421,1.0,1.0,2026-03-18,171,False,False,False,False,False,False,False,False,False
WS/MP18100/2024-2025/164789,60000.0,1,1,0,0,0.0,56,,0.6,,2025-03-31,523,False,False,False,False,False,False,False,False,False
WS/MP18100/2025-2026/182329,200000.0,2,1,0,0,0.0,17,194,1.0,1.0,2025-09-26,344,False,False,False,False,False,False,False,False,False
WS/MP18100/2025-2026/173912,500000.0,2,1,0,0,0.0,91,365,1.0,1.0,2025-06-17,445,False,False,False,False,False,False,False,False,False
WS/MP18100/2025-2026/244225,300000.0,2,1,0,0,0.0,55,122,1.0,1.0,2026-03-24,165,False,False,False,False,False,False,False,False,False
WS/MP18100/2025-2026/241964,500000.0,1,1,0,0,0.0,101,,0.5,,2026-01-30,218,False,False,False,False,False,False,False,False,False
WS/MP18100/2026-2027/263129,75000.0,1,1,0,0,0.0,137,,0.5,,2026-08-19,17,False,False,False,False,False,False,False,False,False
WS/MP18101/2024-2025/139569,500000.0,2,1,0,0,0.0,24,367,1.0,1.0,2025-09-09,361,False,False,False,False,False,False,False,False,False
