check_name,table,field,source_row,record_id,count,details
source_sheet_names,workbook,,,,2.0,"[""M3_WORKS_MASTER"", ""M3_EXPENDITURE_TRANSACTIONS""]"
source_filename,workbook,,,,1.0,Punjab.xlsx
resolved_works_source_sheet,works,,,,1.0,M3_WORKS_MASTER
resolved_expenditure_source_sheet,expenditure,,,,1.0,M3_EXPENDITURE_TRANSACTIONS
source_header_row,works,,,,1.0,
source_header_row,expenditure,,,,1.0,
pre_header_non_data_row_count,works,,,,0.0,
pre_header_non_data_row_count,expenditure,,,,0.0,
blank_row_count_after_header,works,,,,0.0,
blank_row_count_after_header,expenditure,,,,0.0,
source_row_count,works,,,,200.0,
source_columns,works,,,,17.0,"[""Work_ID"", ""Lok_Sabha"", ""State"", ""Constituency"", ""MP_Name"", ""Work_Category"", ""Work"", ""Work_Description"", ""IDA"", ""Recommended_Date"", ""Recommended_Amount"", ""Sanction_Date"", ""Sanction_Amount"", ""Work_Status"", ""Completion_Date"", ""Amount_Disbursed"", ""Data_Notes""]"
source_missing_value_count,works,Work_ID,,,0.0,
source_missing_value_count,works,Lok_Sabha,,,0.0,
source_missing_value_count,works,State,,,0.0,
source_missing_value_count,works,Constituency,,,0.0,
source_missing_value_count,works,MP_Name,,,0.0,
source_missing_value_count,works,Work_Category,,,0.0,
source_missing_value_count,works,Work,,,0.0,
source_missing_value_count,works,Work_Description,,,0.0,
source_missing_value_count,works,IDA,,,0.0,
source_missing_value_count,works,Recommended_Date,,,9.0,
source_missing_value_count,works,Recommended_Amount,,,9.0,
source_missing_value_count,works,Sanction_Date,,,0.0,
source_missing_value_count,works,Sanction_Amount,,,0.0,
source_missing_value_count,works,Work_Status,,,0.0,
source_missing_value_count,works,Completion_Date,,,152.0,
source_missing_value_count,works,Amount_Disbursed,,,152.0,
source_missing_value_count,works,Data_Notes,,,45.0,
source_row_count,expenditure,,,,452.0,
source_columns,expenditure,,,,9.0,"[""Work_ID"", ""State"", ""MP_Name"", ""Constituency"", ""Expenditure_Date"", ""Vendor_Name"", ""Payment_Status"", ""Fund_Disbursed_Amount"", ""Data_Notes""]"
source_missing_value_count,expenditure,Work_ID,,,0.0,
source_missing_value_count,expenditure,State,,,0.0,
source_missing_value_count,expenditure,MP_Name,,,0.0,
source_missing_value_count,expenditure,Constituency,,,0.0,
source_missing_value_count,expenditure,Expenditure_Date,,,0.0,
source_missing_value_count,expenditure,Vendor_Name,,,0.0,
source_missing_value_count,expenditure,Payment_Status,,,0.0,
source_missing_value_count,expenditure,Fund_Disbursed_Amount,,,0.0,
source_missing_value_count,expenditure,Data_Notes,,,352.0,
source_expenditure_transaction_count,expenditure,,,,452.0,
invalid_unparseable_date_count,works,recommended_date,,,0.0,
invalid_unparseable_date_count,works,sanction_date,,,0.0,
invalid_unparseable_date_count,works,completion_date,,,0.0,
invalid_unparseable_date_count,expenditure,expenditure_date,,,0.0,
invalid_non_numeric_monetary_value_count,works,recommended_amount,,,0.0,
invalid_non_numeric_monetary_value_count,works,sanction_amount,,,0.0,
invalid_non_numeric_monetary_value_count,works,amount_disbursed,,,0.0,
invalid_non_numeric_monetary_value_count,expenditure,fund_disbursed_amount,,,0.0,
work_id_is_unique,works,work_id,,,1.0,1 means unique; 0 means duplicate IDs are present
duplicate_work_id_count,works,work_id,,,0.0,
unmatched_expenditure_work_id,expenditure,work_id,3.0,EXP-000002,1.0,work_id=WS/MP381/2024-2025/153036 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,4.0,EXP-000003,1.0,work_id=WS/MP381/2024-2025/164560 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,5.0,EXP-000004,1.0,work_id=WS/MP381/2024-2025/164560 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,6.0,EXP-000005,1.0,work_id=WS/MP381/2025-2026/184099 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,7.0,EXP-000006,1.0,work_id=WS/MP381/2025-2026/203253 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,8.0,EXP-000007,1.0,work_id=WS/MP381/2025-2026/203253 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,9.0,EXP-000008,1.0,work_id=WS/MP381/2025-2026/203253 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,10.0,EXP-000009,1.0,work_id=WS/MP381/2025-2026/203253 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,11.0,EXP-000010,1.0,work_id=WS/MP381/2025-2026/203253 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,12.0,EXP-000011,1.0,work_id=WS/MP381/2025-2026/203253 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,13.0,EXP-000012,1.0,work_id=WS/MP381/2025-2026/203253 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,14.0,EXP-000013,1.0,work_id=WS/MP381/2025-2026/203216 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,15.0,EXP-000014,1.0,work_id=WS/MP381/2025-2026/203216 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,16.0,EXP-000015,1.0,work_id=WS/MP381/2025-2026/227441 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,17.0,EXP-000016,1.0,work_id=WS/MP381/2025-2026/262032 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,18.0,EXP-000017,1.0,work_id=WS/MP381/2025-2026/254856 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,19.0,EXP-000018,1.0,work_id=WS/MP381/2025-2026/254856 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,20.0,EXP-000019,1.0,work_id=WS/MP381/2025-2026/254101 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,21.0,EXP-000020,1.0,work_id=WS/MP381/2025-2026/254101 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,22.0,EXP-000021,1.0,work_id=WS/MP381/2025-2026/254101 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,23.0,EXP-000022,1.0,work_id=WS/MP381/2025-2026/254101 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,24.0,EXP-000023,1.0,work_id=WS/MP381/2025-2026/254101 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,25.0,EXP-000024,1.0,work_id=WS/MP381/2026-2027/275558 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,26.0,EXP-000025,1.0,work_id=WS/MP381/2026-2027/278069 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,27.0,EXP-000026,1.0,work_id=WS/MP18311/2024-2025/142721 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,28.0,EXP-000027,1.0,work_id=WS/MP18311/2024-2025/142721 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,29.0,EXP-000028,1.0,work_id=WS/MP18311/2024-2025/142721 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,30.0,EXP-000029,1.0,work_id=WS/MP18311/2024-2025/142721 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,31.0,EXP-000030,1.0,work_id=WS/MP18311/2024-2025/142721 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,32.0,EXP-000031,1.0,work_id=WS/MP18311/2024-2025/143228 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,33.0,EXP-000032,1.0,work_id=WS/MP18311/2024-2025/149557 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,34.0,EXP-000033,1.0,work_id=WS/MP18311/2024-2025/149557 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,35.0,EXP-000034,1.0,work_id=WS/MP18311/2024-2025/149557 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,36.0,EXP-000035,1.0,work_id=WS/MP18311/2024-2025/149557 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,37.0,EXP-000036,1.0,work_id=WS/MP18311/2024-2025/149557 is not present in works.
unmatched_expenditure_work_id,expenditure,work_id,38.0,EXP-000037,1.0,work_id=WS/MP18311/2024-2025/149557 is not present in works.
