check_name,table,field,source_row,record_id,count,details
source_sheet_names,workbook,,,,2.0,"[""M5_WORKS_MASTER"", ""M5_EXPENDITURE_TRANSACTIONS""]"
source_filename,workbook,,,,1.0,Uttarakhand.xlsx
resolved_works_source_sheet,works,,,,1.0,M5_WORKS_MASTER
resolved_expenditure_source_sheet,expenditure,,,,1.0,M5_EXPENDITURE_TRANSACTIONS
source_header_row,works,,,,1.0,
source_header_row,expenditure,,,,1.0,
pre_header_non_data_row_count,works,,,,0.0,
pre_header_non_data_row_count,expenditure,,,,0.0,
blank_row_count_after_header,works,,,,0.0,
blank_row_count_after_header,expenditure,,,,0.0,
source_row_count,works,,,,200.0,
source_columns,works,,,,17.0,"[""Work_ID"", ""Lok_Sabha"", ""State"", ""Constituency"", ""MP_Name"", ""Work_Category"", ""Work"", ""Work_Description"", ""IDA"", ""Recommended_Date"", ""Recommended_Amount"", ""Sanction_Date"", ""Sanction_Amount"", ""Work_Status"", ""Completion_Date"", ""Amount_Disbursed"", ""Data_Notes""]"
source_missing_value_count,works,Work_ID,,,0.0,
source_missing_value_count,works,Lok_Sabha,,,200.0,
source_missing_value_count,works,State,,,0.0,
source_missing_value_count,works,Constituency,,,0.0,
source_missing_value_count,works,MP_Name,,,0.0,
source_missing_value_count,works,Work_Category,,,0.0,
source_missing_value_count,works,Work,,,0.0,
source_missing_value_count,works,Work_Description,,,1.0,
source_missing_value_count,works,IDA,,,0.0,
source_missing_value_count,works,Recommended_Date,,,3.0,
source_missing_value_count,works,Recommended_Amount,,,3.0,
source_missing_value_count,works,Sanction_Date,,,0.0,
source_missing_value_count,works,Sanction_Amount,,,0.0,
source_missing_value_count,works,Work_Status,,,0.0,
source_missing_value_count,works,Completion_Date,,,161.0,
source_missing_value_count,works,Amount_Disbursed,,,161.0,
source_missing_value_count,works,Data_Notes,,,197.0,
source_row_count,expenditure,,,,389.0,
source_columns,expenditure,,,,9.0,"[""Work_ID"", ""State"", ""MP_Name"", ""Constituency"", ""Expenditure_Date"", ""Vendor_Name"", ""Payment_Status"", ""Fund_Disbursed_Amount"", ""Data_Notes""]"
source_missing_value_count,expenditure,Work_ID,,,0.0,
source_missing_value_count,expenditure,State,,,0.0,
source_missing_value_count,expenditure,MP_Name,,,0.0,
source_missing_value_count,expenditure,Constituency,,,0.0,
source_missing_value_count,expenditure,Expenditure_Date,,,0.0,
source_missing_value_count,expenditure,Vendor_Name,,,0.0,
source_missing_value_count,expenditure,Payment_Status,,,0.0,
source_missing_value_count,expenditure,Fund_Disbursed_Amount,,,0.0,
source_missing_value_count,expenditure,Data_Notes,,,389.0,
source_expenditure_transaction_count,expenditure,,,,389.0,
invalid_unparseable_date_count,works,recommended_date,,,0.0,
invalid_unparseable_date_count,works,sanction_date,,,0.0,
invalid_unparseable_date_count,works,completion_date,,,0.0,
invalid_unparseable_date_count,expenditure,expenditure_date,,,0.0,
invalid_non_numeric_monetary_value_count,works,recommended_amount,,,0.0,
invalid_non_numeric_monetary_value_count,works,sanction_amount,,,0.0,
invalid_non_numeric_monetary_value_count,works,amount_disbursed,,,0.0,
invalid_non_numeric_monetary_value_count,expenditure,fund_disbursed_amount,,,0.0,
work_id_is_unique,works,work_id,,,1.0,1 means unique; 0 means duplicate IDs are present
duplicate_work_id_count,works,work_id,,,0.0,
every_expenditure_work_id_exists_in_works,expenditure,work_id,,,1.0,1 means all matched; 0 means unmatched records are present
unmatched_expenditure_record_count,expenditure,work_id,,,0.0,
matched_expenditure_record_count,expenditure,work_id,,,389.0,
distinct_unmatched_expenditure_work_id_count,expenditure,work_id,,,0.0,
distinct_matched_expenditure_work_id_count,expenditure,work_id,,,113.0,
exact_duplicate_transaction_row,expenditure,,121.0,UK-EXP-000120,1.0,"Group DUP-DE0B79038F1F7328; retained, not removed."
exact_duplicate_transaction_row,expenditure,,124.0,UK-EXP-000123,1.0,"Group DUP-DE0B79038F1F7328; retained, not removed."
exact_duplicate_transaction_row,expenditure,,132.0,UK-EXP-000131,1.0,"Group DUP-3C338FF0918F70DE; retained, not removed."
exact_duplicate_transaction_row,expenditure,,135.0,UK-EXP-000134,1.0,"Group DUP-3C338FF0918F70DE; retained, not removed."
exact_duplicate_transaction_row,expenditure,,170.0,UK-EXP-000169,1.0,"Group DUP-243CD05B03064D82; retained, not removed."
exact_duplicate_transaction_row,expenditure,,171.0,UK-EXP-000170,1.0,"Group DUP-243CD05B03064D82; retained, not removed."
exact_duplicate_transaction_row,expenditure,,185.0,UK-EXP-000184,1.0,"Group DUP-8091FE5543D1B5C3; retained, not removed."
exact_duplicate_transaction_row,expenditure,,186.0,UK-EXP-000185,1.0,"Group DUP-560E56157B48B9BC; retained, not removed."
exact_duplicate_transaction_row,expenditure,,187.0,UK-EXP-000186,1.0,"Group DUP-1A379107640C9D75; retained, not removed."
exact_duplicate_transaction_row,expenditure,,188.0,UK-EXP-000187,1.0,"Group DUP-1DF87DBAEFA0B87A; retained, not removed."
exact_duplicate_transaction_row,expenditure,,189.0,UK-EXP-000188,1.0,"Group DUP-9EA8B34BC9EFE65D; retained, not removed."
exact_duplicate_transaction_row,expenditure,,190.0,UK-EXP-000189,1.0,"Group DUP-EE607F78FF71A22B; retained, not removed."
exact_duplicate_transaction_row,expenditure,,191.0,UK-EXP-000190,1.0,"Group DUP-525F3F0D3D3E9A3B; retained, not removed."
exact_duplicate_transaction_row,expenditure,,193.0,UK-EXP-000192,1.0,"Group DUP-8091FE5543D1B5C3; retained, not removed."
exact_duplicate_transaction_row,expenditure,,194.0,UK-EXP-000193,1.0,"Group DUP-560E56157B48B9BC; retained, not removed."
exact_duplicate_transaction_row,expenditure,,195.0,UK-EXP-000194,1.0,"Group DUP-1A379107640C9D75; retained, not removed."
exact_duplicate_transaction_row,expenditure,,196.0,UK-EXP-000195,1.0,"Group DUP-1DF87DBAEFA0B87A; retained, not removed."
exact_duplicate_transaction_row,expenditure,,197.0,UK-EXP-000196,1.0,"Group DUP-9EA8B34BC9EFE65D; retained, not removed."
exact_duplicate_transaction_row,expenditure,,198.0,UK-EXP-000197,1.0,"Group DUP-EE607F78FF71A22B; retained, not removed."
exact_duplicate_transaction_row,expenditure,,199.0,UK-EXP-000198,1.0,"Group DUP-525F3F0D3D3E9A3B; retained, not removed."
exact_duplicate_transaction_row,expenditure,,200.0,UK-EXP-000199,1.0,"Group DUP-C4251240E42F806E; retained, not removed."
exact_duplicate_transaction_row,expenditure,,201.0,UK-EXP-000200,1.0,"Group DUP-C4251240E42F806E; retained, not removed."
duplicate_comparison_fields,expenditure,,,,8.0,"[""work_id"", ""state"", ""mp_name"", ""constituency"", ""expenditure_date"", ""vendor_name"", ""payment_status"", ""fund_disbursed_amount""]"
output_expenditure_transaction_count,expenditure,,,,389.0,
exact_duplicate_transaction_row_count,expenditure,,,,22.0,Rows are retained; this is not a removal count.
duplicate_group_count,expenditure,,,,11.0,
works_with_potential_duplicate_transactions,works,,,,3.0,
total_potential_duplicate_amount,expenditure,fund_disbursed_amount,,,71769.0,Sum of repeated occurrences beyond the first within each exact duplicate group.
rows_removed_due_to_duplicate_detection,expenditure,,,,0.0,All source transaction rows are retained.
source_works_row_count,works,,,,200.0,
output_works_row_count,works,,,,200.0,
unique_work_id_count,works,work_id,,,200.0,
missing_completion_date_count,works,completion_date,,,161.0,
missing_amount_disbursed_count,works,amount_disbursed,,,161.0,
works_with_expenditure_transaction_count,works,work_id,,,113.0,
works_with_populated_data_notes_count,works,data_notes,,,3.0,Data_Notes is retained as source/data-quality context only.
expenditure_with_populated_data_notes_count,expenditure,data_notes,,,0.0,Data_Notes is retained as source/data-quality context only.
validation_status,workbook,,,,1.0,Pipeline completed; row-preservation and conversion checks are reported above. Unmatched expenditure records retained: 0.
