work_id,total_expenditure,expenditure_transaction_count,unique_vendor_count,duplicate_transaction_count,duplicate_group_count,potential_duplicate_amount_total,days_to_sanction,days_to_completion,expenditure_vs_sanction_ratio,disbursement_vs_sanction_ratio,last_expenditure_date,days_since_last_expenditure,expenditure_exceeds_sanction,disbursement_exceeds_sanction,completed_without_completion_date,completed_without_disbursement,expenditure_without_matching_work,high_transaction_count,multiple_vendors,has_potential_duplicate_transaction,potential_duplicate_transaction
WS/MP478/2025-2026/176954,,0,0,0,0,0.0,52,,,,,,False,False,False,False,False,False,False,False,False
WS/MP478/2025-2026/234630,,0,0,0,0,0.0,27,,,,,,False,False,False,False,False,False,False,False,False
WS/MP477/2026-2027/279787,,0,0,0,0,0.0,91,,,,,,False,False,False,False,False,False,False,False,False
WS/MP477/2025-2026/206271,464802.0,1,1,0,0,0.0,112,,1.0,,2025-12-20,259,False,False,False,False,False,False,False,False,False
WS/MP477/2024-2025/180823,454574.0,3,2,0,0,0.0,8,371,0.909148,0.909148,2025-11-04,305,False,False,False,False,False,False,True,False,False
WS/MP477/2026-2027/279791,,0,0,0,0,0.0,91,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18415/2026-2027/269589,,0,0,0,0,0.0,60,,,,,,False,False,False,False,False,False,False,False,False
WS/MP477/2025-2026/197676,200000.0,1,1,0,0,0.0,140,275,1.0,1.0,2026-02-07,210,False,False,False,False,False,False,False,False,False
WS/MP18415/2025-2026/206280,,0,0,0,0,0.0,132,,,,,,False,False,False,False,False,False,False,False,False
WS/MP021/2025-2026/192575,497424.0,1,1,0,0,0.0,107,150,1.0,1.0,2025-09-03,367,False,False,False,False,False,False,False,False,False
WS/MP18415/2026-2027/269632,,0,0,0,0,0.0,125,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18415/2026-2027/269591,881417.0,1,1,0,0,0.0,128,,1.0,,2026-06-29,68,False,False,False,False,False,False,False,False,False
WS/MP18415/2026-2027/269585,,0,0,0,0,0.0,60,,,,,,False,False,False,False,False,False,False,False,False
WS/MP478/2025-2026/154203,99433.0,5,4,0,0,0.0,387,,0.99433,,2025-12-16,263,False,False,False,False,False,False,True,False,False
WS/MP477/2024-2025/173114,1000000.0,2,2,0,0,0.0,22,283,1.0,1.0,2025-11-15,294,False,False,False,False,False,False,True,False,False
WS/MP18415/2025-2026/214989,471553.0,1,1,0,0,0.0,129,,0.8999103053435115,,2026-03-23,166,False,False,False,False,False,False,False,False,False
WS/MP18414/2026-2027/266806,250000.0,2,1,0,0,0.0,102,,1.0,,2026-05-26,102,False,False,False,False,False,False,False,False,False
WS/MP478/2024-2025/154212,,0,0,0,0,0.0,123,,,,,,False,False,False,False,False,False,False,False,False
WS/MP021/2026-2027/250055,,0,0,0,0,0.0,212,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18414/2025-2026/221553,300000.0,1,1,0,0,0.0,141,141,1.0,1.0,2025-12-11,268,False,False,False,False,False,False,False,False,False
WS/MP18415/2025-2026/205428,1103860.0,1,1,0,0,0.0,58,,1.0,,2026-07-13,54,False,False,False,False,False,False,False,False,False
WS/MP477/2026-2027/269915,99654.0,13,12,0,0,0.0,170,,0.99654,,2026-08-24,12,False,False,False,False,False,True,True,False,False
WS/MP478/2025-2026/180977,249984.0,1,1,0,0,0.0,52,,0.999936,,2025-06-12,450,False,False,False,False,False,False,False,False,False
WS/MP021/2025-2026/192505,242951.0,10,9,0,0,0.0,121,,0.971804,,2026-08-14,22,False,False,False,False,False,True,True,False,False
WS/MP18414/2026-2027/195838,276190.0,2,1,0,0,0.0,424,,0.46031666666666665,,2026-08-04,32,False,False,False,False,False,False,False,False,False
WS/MP18415/2025-2026/229676,,0,0,0,0,0.0,146,,,,,,False,False,False,False,False,False,False,False,False
WS/MP477/2026-2027/274297,,0,0,0,0,0.0,57,,,,,,False,False,False,False,False,False,False,False,False
WS/MP478/2025-2026/243872,249600.0,1,1,0,0,0.0,68,149,0.9984,0.9984,2026-03-25,164,False,False,False,False,False,False,False,False,False
WS/MP021/2025-2026/210256,250000.0,4,4,0,0,0.0,177,247,1.0,1.0,2026-02-11,206,False,False,False,False,False,False,True,False,False
WS/MP18414/2026-2027/278686,200000.0,1,1,0,0,0.0,71,,1.0,,2026-07-20,47,False,False,False,False,False,False,False,False,False
WS/MP18415/2026-2027/270197,,0,0,0,0,0.0,50,,,,,,False,False,False,False,False,False,False,False,False
WS/MP477/2025-2026/261062,199737.0,1,1,0,0,0.0,48,,0.998685,,2026-07-21,46,False,False,False,False,False,False,False,False,False
WS/MP478/2026-2027/277464,,0,0,0,0,0.0,74,,,,,,False,False,False,False,False,False,False,False,False
WS/MP021/2025-2026/174664,,0,0,0,0,0.0,275,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18414/2026-2027/278676,,0,0,0,0,0.0,71,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18415/2025-2026/215033,415360.0,1,1,0,0,0.0,60,187,1.0,1.0,2026-01-09,239,False,False,False,False,False,False,False,False,False
WS/MP477/2026-2027/274282,,0,0,0,0,0.0,57,,,,,,False,False,False,False,False,False,False,False,False
WS/MP478/2025-2026/245527,322112.0,3,2,0,0,0.0,149,,0.644224,,2026-07-28,39,False,False,False,False,False,False,True,False,False
WS/MP021/2025-2026/252345,499113.0,1,1,0,0,0.0,35,103,0.998226,0.998226,2026-03-18,171,False,False,False,False,False,False,False,False,False
WS/MP18414/2026-2027/247595,997800.0,1,1,0,0,0.0,220,,0.9978,,2026-06-19,78,False,False,False,False,False,False,False,False,False
WS/MP18415/2025-2026/205427,753821.0,2,2,0,0,0.0,164,,0.753821,,2026-08-18,18,False,False,False,False,False,False,True,False,False
WS/MP477/2026-2027/258914,199980.0,1,1,0,0,0.0,156,,0.9999,,2026-08-07,29,False,False,False,False,False,False,False,False,False
WS/MP478/2024-2025/149449,2498299.0,2,1,0,0,0.0,,,1.0,1.0,2025-01-23,590,False,False,False,False,False,False,False,False,False
WS/MP021/2025-2026/188598,,0,0,0,0,0.0,224,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18414/2025-2026/202455,715451.0,1,1,0,0,0.0,41,,0.574659437751004,,2025-10-15,325,False,False,False,False,False,False,False,False,False
WS/MP18415/2026-2027/269577,1187612.0,1,1,0,0,0.0,84,,0.9987553528238353,,2026-07-22,45,False,False,False,False,False,False,False,False,False
WS/MP477/2026-2027/269863,,0,0,0,0,0.0,183,,,,,,False,False,False,False,False,False,False,False,False
WS/MP478/2025-2026/180991,249984.0,1,1,0,0,0.0,93,,0.999936,,2025-06-12,450,False,False,False,False,False,False,False,False,False
WS/MP021/2025-2026/178120,,0,0,0,0,0.0,73,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18414/2026-2027/270311,,0,0,0,0,0.0,115,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18415/2025-2026/205433,879000.0,1,1,0,0,0.0,58,,0.8888466431123991,,2026-07-09,58,False,False,False,False,False,False,False,False,False
WS/MP477/2025-2026/258903,,0,0,0,0,0.0,42,,,,,,False,False,False,False,False,False,False,False,False
WS/MP478/2025-2026/176117,793184.0,2,1,0,0,0.0,302,325,0.99148,0.99148,2026-05-19,109,False,False,False,False,False,False,False,False,False
WS/MP021/2025-2026/200592,249790.0,8,8,0,0,0.0,92,,0.99916,,2025-10-16,324,False,False,False,False,False,True,True,False,False
WS/MP18414/2026-2027/279749,,0,0,0,0,0.0,100,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18415/2026-2027/259383,,0,0,0,0,0.0,118,,,,,,False,False,False,False,False,False,False,False,False
WS/MP477/2026-2027/274284,,0,0,0,0,0.0,57,,,,,,False,False,False,False,False,False,False,False,False
WS/MP478/2025-2026/154213,,0,0,0,0,0.0,131,,,,,,False,False,False,False,False,False,False,False,False
WS/MP021/2025-2026/254822,200000.0,8,8,0,0,0.0,36,139,1.0,1.0,2026-05-06,122,False,False,False,False,False,True,True,False,False
WS/MP18414/2026-2027/285342,,0,0,0,0,0.0,46,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18415/2025-2026/206267,100000.0,1,1,0,0,0.0,55,263,1.0,1.0,2026-03-27,162,False,False,False,False,False,False,False,False,False
WS/MP477/2026-2027/262173,149550.0,1,1,0,0,0.0,79,,0.997,,2026-09-03,2,False,False,False,False,False,False,False,False,False
WS/MP478/2025-2026/243426,262229.0,3,2,0,0,0.0,67,,0.524458,,2026-07-28,39,False,False,False,False,False,False,True,False,False
WS/MP021/2025-2026/264641,,0,0,0,0,0.0,28,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18415/2026-2027/262472,249849.0,1,1,0,0,0.0,105,,1.0,,2026-06-18,79,False,False,False,False,False,False,False,False,False
WS/MP477/2026-2027/269921,,0,0,0,0,0.0,184,,,,,,False,False,False,False,False,False,False,False,False
WS/MP478/2025-2026/243401,199589.0,18,10,2,1,6552.0,72,120,1.0,1.0,2026-06-25,72,False,False,False,False,False,True,True,True,True
WS/MP021/2025-2026/227788,498800.0,1,1,0,0,0.0,57,258,0.9976,0.9976,2026-07-20,47,False,False,False,False,False,False,False,False,False
WS/MP18415/2026-2027/281995,,0,0,0,0,0.0,43,,,,,,False,False,False,False,False,False,False,False,False
WS/MP477/2026-2027/274292,,0,0,0,0,0.0,57,,,,,,False,False,False,False,False,False,False,False,False
WS/MP478/2025-2026/154248,150000.0,6,6,0,0,0.0,177,,1.0,,2026-06-24,73,False,False,False,False,False,True,True,False,False
WS/MP021/2025-2026/188606,37345.0,1,1,0,0,0.0,224,,0.7469,,2026-07-18,49,False,False,False,False,False,False,False,False,False
WS/MP18415/2025-2026/215041,781796.0,1,1,0,0,0.0,51,186,0.9950007890811532,0.9950007890811532,2025-11-21,288,False,False,False,False,False,False,False,False,False
WS/MP477/2026-2027/279788,,0,0,0,0,0.0,43,,,,,,False,False,False,False,False,False,False,False,False
WS/MP478/2025-2026/186041,529139.0,1,1,0,0,0.0,29,219,0.9983754716981132,0.9983754716981132,2025-12-17,262,False,False,False,False,False,False,False,False,False
WS/MP021/2025-2026/252339,,0,0,0,0,0.0,110,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18415/2025-2026/262467,229813.0,1,1,0,0,0.0,26,,1.0,,2026-02-27,190,False,False,False,False,False,False,False,False,False
WS/MP477/2026-2027/268869,249500.0,2,2,0,0,0.0,115,,0.998,,2026-06-17,80,False,False,False,False,False,False,True,False,False
