work_id,state,risk_score,risk_level,financial_integrity_score,transaction_pattern_score,lifecycle_execution_score,data_quality_score,requires_human_review
WS/MP524/2026-2027/290140,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP524/2024-2025/151568,Andhra Pradesh,12,Low / Normal,0,0,30,40,False
WS/MP524/2025-2026/215336,Andhra Pradesh,6,Low / Normal,0,0,0,40,False
WS/MP524/2024-2025/168911,Andhra Pradesh,8,Low / Normal,0,0,30,15,False
WS/MP524/2026-2027/271392,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP524/2026-2027/290176,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP524/2025-2026/271486,Andhra Pradesh,6,Low / Normal,0,0,0,40,False
WS/MP524/2025-2026/194131,Andhra Pradesh,20,Moderate,0,30,25,40,False
WS/MP524/2024-2025/170461,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP529/2024-2025/161711,Andhra Pradesh,20,Moderate,0,30,25,40,False
WS/MP529/2025-2026/208021,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP529/2026-2027/286846,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP529/2025-2026/236642,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP529/2025-2026/199548,Andhra Pradesh,6,Low / Normal,0,0,0,40,False
WS/MP529/2025-2026/208634,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP529/2024-2025/161704,Andhra Pradesh,20,Moderate,0,30,25,40,False
WS/MP529/2024-2025/157360,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP529/2024-2025/161721,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP526/2025-2026/257274,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP526/2026-2027/275157,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP526/2025-2026/166421,Andhra Pradesh,6,Low / Normal,0,0,0,40,False
WS/MP526/2025-2026/258214,Andhra Pradesh,6,Low / Normal,0,0,0,40,False
WS/MP526/2025-2026/191640,Andhra Pradesh,20,Moderate,0,30,25,40,False
WS/MP526/2025-2026/224355,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP526/2026-2027/258199,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP526/2024-2025/147538,Andhra Pradesh,8,Low / Normal,0,0,30,15,False
WS/MP526/2026-2027/282554,Andhra Pradesh,6,Low / Normal,0,0,0,40,False
WS/MP522/2024-2025/163222,Andhra Pradesh,6,Low / Normal,0,0,0,40,False
WS/MP522/2025-2026/253887,Andhra Pradesh,6,Low / Normal,0,0,0,40,False
WS/MP522/2025-2026/251430,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP522/2025-2026/260868,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP522/2025-2026/260681,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP522/2025-2026/251446,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP522/2025-2026/168684,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP522/2025-2026/253903,Andhra Pradesh,6,Low / Normal,0,0,0,40,False
WS/MP522/2025-2026/260702,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP18351/2025-2026/161796,Andhra Pradesh,6,Low / Normal,0,0,0,40,False
WS/MP18351/2025-2026/268256,Andhra Pradesh,20,Moderate,0,30,25,40,False
WS/MP18351/2024-2025/160328,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP18351/2026-2027/277981,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP18351/2026-2027/272186,Andhra Pradesh,6,Low / Normal,0,0,0,40,False
WS/MP18351/2024-2025/160288,Andhra Pradesh,20,Moderate,0,30,25,40,False
WS/MP18351/2024-2025/158268,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP18351/2026-2027/258490,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP18351/2025-2026/195719,Andhra Pradesh,6,Low / Normal,0,0,0,40,False
WS/MP18006/2025-2026/239472,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP18006/2025-2026/243954,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP18006/2025-2026/243939,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP18006/2026-2027/270176,Andhra Pradesh,6,Low / Normal,0,0,0,40,False
WS/MP18006/2024-2025/141559,Andhra Pradesh,8,Low / Normal,0,0,30,15,False
WS/MP18006/2024-2025/146763,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP18006/2026-2027/301133,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP18006/2024-2025/135653,Andhra Pradesh,12,Low / Normal,0,0,30,40,False
WS/MP18006/2024-2025/146745,Andhra Pradesh,8,Low / Normal,0,0,30,15,False
WS/MP18003/2024-2025/172266,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP18003/2025-2026/223858,Andhra Pradesh,20,Moderate,0,30,25,40,False
WS/MP18003/2024-2025/157519,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP18003/2024-2025/172281,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP18003/2025-2026/223865,Andhra Pradesh,6,Low / Normal,0,0,0,40,False
WS/MP18003/2024-2025/157510,Andhra Pradesh,2,Low / Normal,0,0,0,15,False
WS/MP18003/2025-2026/223856,Andhra Pradesh,20,Moderate,0,30,25,40,False
