work_id,total_expenditure,expenditure_transaction_count,unique_vendor_count,duplicate_transaction_count,duplicate_group_count,potential_duplicate_amount_total,days_to_sanction,days_to_completion,expenditure_vs_sanction_ratio,disbursement_vs_sanction_ratio,last_expenditure_date,days_since_last_expenditure,expenditure_exceeds_sanction,disbursement_exceeds_sanction,completed_without_completion_date,completed_without_disbursement,expenditure_without_matching_work,high_transaction_count,multiple_vendors,has_potential_duplicate_transaction,potential_duplicate_transaction
WS/MP524/2026-2027/290140,,0,0,0,0,0.0,,,,,,,False,False,False,False,False,False,False,False,False
WS/MP524/2024-2025/151568,160189.0,1,1,0,0,0.0,,,0.8899388888888888,,2025-02-12,570,False,False,False,False,False,False,False,False,False
WS/MP524/2025-2026/215336,339327.0,1,1,0,0,0.0,,,0.678654,,2026-07-10,57,False,False,False,False,False,False,False,False,False
WS/MP524/2024-2025/168911,194855.0,1,1,0,0,0.0,,,1.0,1.0,2025-03-24,530,False,False,False,False,False,False,False,False,False
WS/MP524/2026-2027/271392,90000.0,1,1,0,0,0.0,,,1.0,1.0,2026-04-25,133,False,False,False,False,False,False,False,False,False
WS/MP524/2026-2027/290176,,0,0,0,0,0.0,,,,,,,False,False,False,False,False,False,False,False,False
WS/MP524/2025-2026/271486,499945.0,1,1,0,0,0.0,,,0.99989,,2026-07-25,42,False,False,False,False,False,False,False,False,False
WS/MP524/2025-2026/194131,499996.0,1,1,0,0,0.0,,,0.999992,,2026-07-20,47,False,False,False,False,False,False,False,False,False
WS/MP524/2024-2025/170461,268015.0,1,1,0,0,0.0,,,1.0,1.0,2026-01-01,247,False,False,False,False,False,False,False,False,False
WS/MP529/2024-2025/161711,137882.0,1,1,0,0,0.0,,,0.9991449275362319,,2025-06-30,432,False,False,False,False,False,False,False,False,False
WS/MP529/2025-2026/208021,485616.0,1,1,0,0,0.0,,,1.0,1.0,2026-01-30,218,False,False,False,False,False,False,False,False,False
WS/MP529/2026-2027/286846,,0,0,0,0,0.0,,,,,,,False,False,False,False,False,False,False,False,False
WS/MP529/2025-2026/236642,,0,0,0,0,0.0,,,,,,,False,False,False,False,False,False,False,False,False
WS/MP529/2025-2026/199548,241005.0,1,1,0,0,0.0,,,0.80335,,2026-05-20,108,False,False,False,False,False,False,False,False,False
WS/MP529/2025-2026/208634,497962.0,1,1,0,0,0.0,,,0.995924,0.995924,2026-04-09,149,False,False,False,False,False,False,False,False,False
WS/MP529/2024-2025/161704,423883.0,1,1,0,0,0.0,,,0.9997240566037736,,2025-06-30,432,False,False,False,False,False,False,False,False,False
WS/MP529/2024-2025/157360,1211245.0,1,1,0,0,0.0,,,1.0,1.0,2025-07-04,428,False,False,False,False,False,False,False,False,False
WS/MP529/2024-2025/161721,,0,0,0,0,0.0,,,,,,,False,False,False,False,False,False,False,False,False
WS/MP526/2025-2026/257274,199285.0,1,1,0,0,0.0,,,0.996425,0.996425,2026-05-11,117,False,False,False,False,False,False,False,False,False
WS/MP526/2026-2027/275157,,0,0,0,0,0.0,,,,,,,False,False,False,False,False,False,False,False,False
WS/MP526/2025-2026/166421,199844.0,1,1,0,0,0.0,,,0.99922,,2026-06-18,79,False,False,False,False,False,False,False,False,False
WS/MP526/2025-2026/258214,598584.0,1,1,0,0,0.0,,,0.99764,,2026-08-14,22,False,False,False,False,False,False,False,False,False
WS/MP526/2025-2026/191640,498197.0,1,1,0,0,0.0,,,0.9983907815631262,,2026-07-21,46,False,False,False,False,False,False,False,False,False
WS/MP526/2025-2026/224355,393899.0,1,1,0,0,0.0,,,0.9847475,0.9847475,2026-03-18,171,False,False,False,False,False,False,False,False,False
WS/MP526/2026-2027/258199,,0,0,0,0,0.0,,,,,,,False,False,False,False,False,False,False,False,False
WS/MP526/2024-2025/147538,498966.0,1,1,0,0,0.0,,,1.0,1.0,2025-04-22,501,False,False,False,False,False,False,False,False,False
WS/MP526/2026-2027/282554,397856.0,1,1,0,0,0.0,,,0.99464,,2026-08-27,9,False,False,False,False,False,False,False,False,False
WS/MP522/2024-2025/163222,519185.0,1,1,0,0,0.0,,,0.519185,,2026-07-04,63,False,False,False,False,False,False,False,False,False
WS/MP522/2025-2026/253887,366447.0,1,1,0,0,0.0,,,0.9161175,,2026-09-02,3,False,False,False,False,False,False,False,False,False
WS/MP522/2025-2026/251430,,0,0,0,0,0.0,,,,,,,False,False,False,False,False,False,False,False,False
WS/MP522/2025-2026/260868,,0,0,0,0,0.0,,,,,,,False,False,False,False,False,False,False,False,False
WS/MP522/2025-2026/260681,315308.0,1,1,0,0,0.0,,,0.9853375,0.9853375,2026-04-20,138,False,False,False,False,False,False,False,False,False
WS/MP522/2025-2026/251446,,0,0,0,0,0.0,,,,,,,False,False,False,False,False,False,False,False,False
WS/MP522/2025-2026/168684,493889.0,1,1,0,0,0.0,,,1.0,1.0,2025-08-12,389,False,False,False,False,False,False,False,False,False
