work_id,lok_sabha,state,constituency,mp_name,work_category,work,work_description,ida,recommended_date,recommended_amount,sanction_date,sanction_amount,work_status,completion_date,amount_disbursed,data_notes
WS/MP524/2026-2027/290140,,Andhra Pradesh,RAJAMPET,Midhun Reddy,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Laying of CC Road from Sukur Theater to Hare Rama Hare Krishan Temple Road in Piler GP,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),,,2026-07-24,300000.0,Sanction,,,No matching Work_ID found in Works Recommended source (Recommended sheet uses a different Work_ID numbering series with zero overlap against Works Sanctioned)
WS/MP524/2024-2025/151568,,Andhra Pradesh,RAJAMPET,Midhun Reddy,Normal/Others,Installing tube-wells and borewells,"Providing Borewell in Nayunivaripalli (V), Jogivaripalli (G.P)",CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),,,2024-11-27,180000.0,Work partially Completed,,,No matching Work_ID found in Works Recommended source (Recommended sheet uses a different Work_ID numbering series with zero overlap against Works Sanctioned)
WS/MP524/2025-2026/215336,,Andhra Pradesh,RAJAMPET,Midhun Reddy,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of Pipe Culvert and Approach Roads in Vontimitta Village and GP,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),,,2025-12-24,500000.0,Vendor Identification,,,No matching Work_ID found in Works Recommended source (Recommended sheet uses a different Work_ID numbering series with zero overlap against Works Sanctioned)
WS/MP524/2024-2025/168911,,Andhra Pradesh,RAJAMPET,Midhun Reddy,Normal/Others,Installing tube-wells and borewells,"Providing Borewell at Cheekalachenu, Moravapalli (G.P)",CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),,,2025-02-10,194855.0,Physical Inspection,2025-03-24,194855.0,No matching Work_ID found in Works Recommended source (Recommended sheet uses a different Work_ID numbering series with zero overlap against Works Sanctioned)
WS/MP524/2026-2027/271392,,Andhra Pradesh,RAJAMPET,Midhun Reddy,Normal/Others,"Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Providing Battery Tri Motorised Scooters to Balireddigari Naveen, Kothapalli, Pandillapalli",CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),,,2026-04-09,90000.0,Work Completed,2026-04-25,90000.0,No matching Work_ID found in Works Recommended source (Recommended sheet uses a different Work_ID numbering series with zero overlap against Works Sanctioned)
WS/MP524/2026-2027/290176,,Andhra Pradesh,RAJAMPET,Midhun Reddy,Normal/Others,Construction of community centers and community halls,"Construction of Community Hall in Malreddigaripalli, Jaravaripalli GP",Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),,,2026-07-24,500000.0,Sanction,,,No matching Work_ID found in Works Recommended source (Recommended sheet uses a different Work_ID numbering series with zero overlap against Works Sanctioned)
WS/MP524/2025-2026/271486,,Andhra Pradesh,RAJAMPET,Midhun Reddy,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Providing Internal CC Road From R and B Road to Old Sub Center Hospital in AG Palli Village and GP,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),,,2026-03-28,500000.0,Work partially Completed,,,No matching Work_ID found in Works Recommended source (Recommended sheet uses a different Work_ID numbering series with zero overlap against Works Sanctioned)
WS/MP524/2025-2026/194131,,Andhra Pradesh,RAJAMPET,Midhun Reddy,Normal/Others,Construction of community centers and community halls,Construction of Community Hall Near Mosque Jandrapeta Sdoum,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),,,2025-06-04,500000.0,Vendor Identification,,,No matching Work_ID found in Works Recommended source (Recommended sheet uses a different Work_ID numbering series with zero overlap against Works Sanctioned)
WS/MP524/2024-2025/170461,,Andhra Pradesh,RAJAMPET,Midhun Reddy,Normal/Others,Providing supply pipelines for drinking water,"Providing Pipeline from Borewell to New OHSR Tank in Bayyareddigaripalli (V), Rayavaripalli (G.P)",CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),,,2025-02-10,268015.0,Physical Inspection,2026-01-01,268015.0,No matching Work_ID found in Works Recommended source (Recommended sheet uses a different Work_ID numbering series with zero overlap against Works Sanctioned)
WS/MP529/2024-2025/161711,,Andhra Pradesh,TIRUPATI(SC),Maddila Gurumoorthy,Normal/Others,Improvement of electricity distribution infrastructure,"Providing of Electricity distribution infrastructure to TK Puram AAW Mudiyur Gram Panchayat, Pichatur Mandal.",Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),,,2025-02-06,138000.0,Vendor Identification,,,No matching Work_ID found in Works Recommended source (Recommended sheet uses a different Work_ID numbering series with zero overlap against Works Sanctioned)
