work_id,lok_sabha,state,constituency,mp_name,work_category,work,work_description,ida,recommended_date,recommended_amount,sanction_date,sanction_amount,work_status,completion_date,amount_disbursed,data_notes
WS/MP18098/2024-2025/180413,Lok Sabha,Madhya Pradesh,BALAGHAT,BHARTI PARDHI,Normal/Others,WS/MP18098/2024-2025/180413-Purchase of mobile water tankers,GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE AT VILLAGE GHOTI,BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA),2025-03-08,190546.0,2025-03-29,190546.0,Physical Inspection,2025-05-22,190546.0,
WS/MP18098/2024-2025/180437,Lok Sabha,Madhya Pradesh,BALAGHAT,BHARTI PARDHI,Normal/Others,WS/MP18098/2024-2025/180437-Construction of culverts and bridges,JAMUNIYATOLA MARG PAR SLAB PILIYA NIRMAN,BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA),2025-03-08,2500000.0,2025-03-29,2500000.0,Vendor Identification,,,Work_ID not found in Works Completed source; Completion_Date/Amount_Disbursed left blank.
WS/MP18098/2025-2026/176785,Lok Sabha,Madhya Pradesh,BALAGHAT,BHARTI PARDHI,Normal/Others,WS/MP18098/2025-2026/176785-Lighting of public spaces,PRAKASH VYAVASTHA HETU GRAM PAUNIYA MEIN HIGHMASK LIGHT,SEONI(District Collector Seoni_IDA),2025-02-21,247537.0,2025-05-01,247537.0,Physical Inspection,2025-11-18,247537.0,
WS/MP18098/2025-2026/195616,Lok Sabha,Madhya Pradesh,BALAGHAT,BHARTI PARDHI,Normal/Others,"WS/MP18098/2025-2026/195616-Construction of roads, link roads, pathways or any other road with or without drainage system",GRAM POUNDI JANPAD PANCHYAT SEONI MEIN KHOOBCHAND KE GHAR SE SIMMILAL KE GHAR KI OR CEMENT CONCTERE NALI NIRMAN KARYA (LEGHNTH-200 METER),SEONI(District Collector Seoni_IDA),2025-04-30,500000.0,2025-06-05,500000.0,Work Completed,2025-09-19,496300.0,
WS/MP18098/2026-2027/269785,Lok Sabha,Madhya Pradesh,BALAGHAT,BHARTI PARDHI,Normal/Others,WS/MP18098/2026-2027/269785-Purchase of mobile water tankers,"GRAM SALETEKA, JP KHAIRLANJI MEIN G.I. WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP",BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA),2026-02-20,199604.0,2026-04-02,199604.0,Physical Inspection,,,Work_ID not found in Works Completed source; Completion_Date/Amount_Disbursed left blank.
WS/MP18098/2026-2027/269823,Lok Sabha,Madhya Pradesh,BALAGHAT,BHARTI PARDHI,Normal/Others,WS/MP18098/2026-2027/269823-Purchase of mobile water tankers,"GRAM GUDMA, JP PARASWADA MEIN G.I. WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP",BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA),2026-02-20,199604.0,2026-04-02,199604.0,Sanction,,,Work_ID not found in Works Completed source; Completion_Date/Amount_Disbursed left blank.
WS/MP18098/2026-2027/272623,Lok Sabha,Madhya Pradesh,BALAGHAT,BHARTI PARDHI,Normal/Others,WS/MP18098/2026-2027/272623-Construction of toilet blocks,GRAM PANCHAYAT NEWARGAON (WA.) JP LALBARRA KE SARASWATI SHISHU MANDIR ME TOILET NIRMAN.,BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA),2026-03-22,500000.0,2026-05-15,500000.0,Vendor Identification,,,Work_ID not found in Works Completed source; Completion_Date/Amount_Disbursed left blank.
WS/MP444/2024-2025/146251,Lok Sabha,Madhya Pradesh,BETUL(ST),Durga Das Uikey,Normal/Others,WS/MP444/2024-2025/146251-Purchase of mobile water tankers,L.No. 179 Dt 07.10.24 Nagar Parishad Aathner me,BETUL(DISTRICT COLLECTOR BETUL_IDA),2024-10-08,190546.0,2024-12-26,190546.0,Physical Inspection,2026-01-29,190546.0,
WS/MP444/2024-2025/165415,Lok Sabha,Madhya Pradesh,BETUL(ST),Durga Das Uikey,Normal/Others,WS/MP444/2024-2025/165415-Construction of public irrigation facilities,Gram panchayat Golhai Bujurga ke gram Temrumal me Chandulal ke khet ke pass Stop Dam,BETUL(DISTRICT COLLECTOR BETUL_IDA),2025-02-27,1000000.0,2025-03-13,1000000.0,Vendor Identification,,,Work_ID not found in Works Completed source; Completion_Date/Amount_Disbursed left blank.
WS/MP444/2025-2026/193985,Lok Sabha,Madhya Pradesh,BETUL(ST),Durga Das Uikey,Normal/Others,WS/MP444/2025-2026/193985-Construction of buildings for community cultural activities,Gram Panchayat Dudhawani ke gram Kharagondi me vishnu bhagat ke ghar ke pass San.Samu.Bhavan Nirman,BETUL(DISTRICT COLLECTOR BETUL_IDA),2025-05-16,250000.0,2025-06-30,250000.0,Vendor Identification,,,Work_ID not found in Works Completed source; Completion_Date/Amount_Disbursed left blank.
