work_id,total_expenditure,expenditure_transaction_count,unique_vendor_count,duplicate_transaction_count,duplicate_group_count,potential_duplicate_amount_total,days_to_sanction,days_to_completion,expenditure_vs_sanction_ratio,disbursement_vs_sanction_ratio,last_expenditure_date,days_since_last_expenditure,expenditure_exceeds_sanction,disbursement_exceeds_sanction,completed_without_completion_date,completed_without_disbursement,expenditure_without_matching_work,high_transaction_count,multiple_vendors,has_potential_duplicate_transaction,potential_duplicate_transaction
WS/MP381/2024-2025/153012,492600.0,1,1,0,0,0.0,10,45,1.0,1.0,2025-01-02,611,False,False,False,False,False,False,False,False,False
WS/MP381/2024-2025/153013,,0,0,0,0,0.0,10,108,,1.0,,,False,False,False,False,False,False,False,False,False
WS/MP381/2024-2025/153014,,0,0,0,0,0.0,20,420,,1.0,,,False,False,False,False,False,False,False,False,False
WS/MP381/2024-2025/153015,,0,0,0,0,0.0,19,,,,,,False,False,False,False,False,False,False,False,False
WS/MP381/2024-2025/153016,,0,0,0,0,0.0,34,,,,,,False,False,False,False,False,False,False,False,False
WS/MP381/2024-2025/153017,,0,0,0,0,0.0,34,,,,,,False,False,False,False,False,False,False,False,False
WS/MP381/2024-2025/153018,,0,0,0,0,0.0,35,175,,1.0,,,False,False,False,False,False,False,False,False,False
WS/MP381/2024-2025/153019,,0,0,0,0,0.0,84,,,,,,False,False,False,False,False,False,False,False,False
WS/MP381/2024-2025/153020,,0,0,0,0,0.0,87,,,,,,False,False,False,False,False,False,False,False,False
WS/MP381/2024-2025/153021,,0,0,0,0,0.0,13,73,,0.97872,,,False,False,False,False,False,False,False,False,False
WS/MP381/2024-2025/153022,,0,0,0,0,0.0,27,,,,,,False,False,False,False,False,False,False,False,False
WS/MP381/2024-2025/153023,,0,0,0,0,0.0,69,,,,,,False,False,False,False,False,False,False,False,False
WS/MP381/2024-2025/153024,,0,0,0,0,0.0,13,,,,,,False,False,False,False,False,False,False,False,False
WS/MP381/2024-2025/153025,,0,0,0,0,0.0,40,,,,,,False,False,False,False,False,False,False,False,False
WS/MP381/2024-2025/153026,,0,0,0,0,0.0,2,,,,,,False,False,False,False,False,False,False,False,False
WS/MP381/2024-2025/153027,,0,0,0,0,0.0,3,,,,,,False,False,False,False,False,False,False,False,False
WS/MP381/2024-2025/153028,,0,0,0,0,0.0,41,,,,,,False,False,False,False,False,False,False,False,False
WS/MP381/2024-2025/153029,,0,0,0,0,0.0,63,548,,1.0,,,False,False,False,False,False,False,False,False,False
WS/MP381/2024-2025/153030,,0,0,0,0,0.0,30,,,,,,False,False,False,False,False,False,False,False,False
WS/MP381/2024-2025/153031,,0,0,0,0,0.0,30,448,,1.0,,,False,False,False,False,False,False,False,False,False
WS/MP18311/2024-2025/149556,1000000.0,2,1,0,0,0.0,31,,1.0,,2026-04-23,135,False,False,False,False,False,False,False,False,False
