work_id,lok_sabha,state,constituency,mp_name,work_category,work,work_description,ida,recommended_date,recommended_amount,sanction_date,sanction_amount,work_status,completion_date,amount_disbursed,data_notes
WS/MP381/2024-2025/153012,Lok Sabha,Punjab,AMRITSAR,Shri Gurjeet Singh Aujla,Normal/Others,WS/MP381/2024-2025/153012-Construction of rooms and halls in school and colleges,CONSTRUCTION OF MULTIPURPOSE HALL AT SCHOOL OF EMINANCE KARAM PURA E BLOCK RANJIT AVENUE ASR,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2024-11-18,492600.0,2024-11-28,492600.0,Physical Inspection,2025-01-02,492600.0,
WS/MP381/2024-2025/153013,Lok Sabha,Punjab,AMRITSAR,Shri Gurjeet Singh Aujla,Normal/Others,WS/MP381/2024-2025/153036-Installation of fixed garden gym equipment,"INSTALLATION OF GYM MACHINES, PARK LIGHTS & BENCHES",AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2024-11-18,143320.0,2024-11-28,143320.0,Physical Inspection,2025-03-06,143320.0,
WS/MP381/2024-2025/153014,Lok Sabha,Punjab,AMRITSAR,Shri Gurjeet Singh Aujla,Normal/Others,WS/MP381/2024-2025/164560-Installation of multi-gym equipment,PURCHASE OF LIBRARY BOOKS AND GYM MACHINES,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2025-01-10,200000.0,2025-01-30,200000.0,Work Completed,2026-03-06,200000.0,
WS/MP381/2024-2025/153015,Lok Sabha,Punjab,AMRITSAR,Shri Gurjeet Singh Aujla,Normal/Others,WS/MP381/2025-2026/184099-Improvement of electricity distribution infrastructure,FOR REPLACEMENT OF LIVE WIRES,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2025-03-21,20602.0,2025-04-09,20602.0,Work partially Completed,,,Work_ID not found in Works Completed source; Completion_Date/Amount_Disbursed left blank.
WS/MP381/2024-2025/153016,Lok Sabha,Punjab,AMRITSAR,Shri Gurjeet Singh Aujla,Repair and Renovation,WS/MP381/2025-2026/203185-Construction of rooms and halls in school and colleges,For Repairing of Room,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2025-06-02,200000.0,2025-07-06,200000.0,Vendor Identification,,,Work_ID not found in Works Completed source; Completion_Date/Amount_Disbursed left blank.
WS/MP381/2024-2025/153017,Lok Sabha,Punjab,AMRITSAR,Shri Gurjeet Singh Aujla,Repair and Renovation,WS/MP381/2025-2026/203253-Construction of common work sheds/ common covered sitting area,Const of Varaanda and Boundary Wall and Interlocking Tiles,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2025-06-02,400000.0,2025-07-06,400000.0,Work partially Completed,,,Work_ID not found in Works Completed source; Completion_Date/Amount_Disbursed left blank.
WS/MP381/2024-2025/153018,Lok Sabha,Punjab,AMRITSAR,Shri Gurjeet Singh Aujla,Normal/Others,WS/MP381/2025-2026/203216-Purchase of books and periodicals for libraries/digitization of library books,Upgradation of Library at District Court Amritsar,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2025-06-02,987923.0,2025-07-07,987923.0,Physical Inspection,2025-11-24,987923.0,
WS/MP381/2024-2025/153019,Lok Sabha,Punjab,AMRITSAR,Shri Gurjeet Singh Aujla,Normal/Others,"WS/MP381/2025-2026/227969-Construction of roads, link roads, pathways or any other road with or without drainage system",For Const of Rasta,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2025-08-23,200000.0,2025-11-15,200000.0,Sanction,,,Work_ID not found in Works Completed source; Completion_Date/Amount_Disbursed left blank.
WS/MP381/2024-2025/153020,Lok Sabha,Punjab,AMRITSAR,Shri Gurjeet Singh Aujla,Normal/Others,"WS/MP381/2025-2026/227441-Construction of roads, link roads, pathways or any other road with or without drainage system",For Const of New Link Road (Bua Nangli to Dere Harpreet Singh Via Kohri Farm),AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2025-08-23,1694000.0,2025-11-18,1694000.0,Vendor Identification,,,Work_ID not found in Works Completed source; Completion_Date/Amount_Disbursed left blank.
WS/MP381/2024-2025/153021,Lok Sabha,Punjab,AMRITSAR,Shri Gurjeet Singh Aujla,Normal/Others,"WS/MP381/2025-2026/262032-Construction of roads, link roads, pathways or any other road with or without drainage system",For Const of Road,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2026-01-27,400000.0,2026-02-09,400000.0,Work Completed,2026-04-10,391488.0,
WS/MP381/2024-2025/153022,Lok Sabha,Punjab,AMRITSAR,Shri Gurjeet Singh Aujla,Normal/Others,WS/MP381/2025-2026/254856-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,For Boundary Wall Varanda and Pacca Rasta of Cremation Ground,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),2026-01-27,700000.0,2026-02-23,700000.0,Vendor Identification,,,Work_ID not found in Works Completed source; Completion_Date/Amount_Disbursed left blank.
