work_id,total_expenditure,expenditure_transaction_count,unique_vendor_count,duplicate_transaction_count,duplicate_group_count,potential_duplicate_amount_total,days_to_sanction,days_to_completion,expenditure_vs_sanction_ratio,disbursement_vs_sanction_ratio,last_expenditure_date,days_since_last_expenditure,expenditure_exceeds_sanction,disbursement_exceeds_sanction,completed_without_completion_date,completed_without_disbursement,expenditure_without_matching_work,high_transaction_count,multiple_vendors,has_potential_duplicate_transaction,potential_duplicate_transaction
WS/MP765/2025-2026/232937,,0,0,0,0,0.0,151,,,,,,False,False,False,False,False,False,False,False,False
WS/MP770/2025-2026/241347,,0,0,0,0,0.0,150,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18386/2025-2026/229827,,0,0,0,0,0.0,84,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18193/2025-2026/149453,,0,0,0,0,0.0,417,468,,,,,False,False,False,False,False,False,False,False,False
WS/MP18386/2025-2026/220050,398401.0,1,1,0,0,0.0,116,146,1.0,1.0,2025-12-12,267,False,False,False,False,False,False,False,False,False
WS/MP18338/2025-2026/220045,498908.0,1,1,0,0,0.0,42,,0.997816,,2026-05-30,98,False,False,False,False,False,False,False,False,False
WS/MP18389/2025-2026/213468,356370.0,1,1,0,0,0.0,227,227,1.0,1.0,2026-02-13,204,False,False,False,False,False,False,False,False,False
WS/MP18188/2025-2026/219358,211830.0,1,1,0,0,0.0,33,291,1.0,1.0,2026-05-04,124,False,False,False,False,False,False,False,False,False
WS/MP770/2026-2027/188830,199348.0,1,1,0,0,0.0,448,,0.99674,,2026-07-21,46,False,False,False,False,False,False,False,False,False
WS/MP18191/2025-2026/234927,994273.0,1,1,0,0,0.0,122,,0.994273,,2026-07-17,50,False,False,False,False,False,False,False,False,False
WS/MP18191/2025-2026/185795,249771.0,1,1,0,0,0.0,92,100,0.999084,0.999084,2025-07-02,430,False,False,False,False,False,False,False,False,False
WS/MP18187/2025-2026/189988,,0,0,0,0,0.0,98,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18194/2025-2026/236886,130165.0,1,1,0,0,0.0,130,221,0.9417165264323076,0.9417165264323076,2026-07-24,43,False,False,False,False,False,False,False,False,False
WS/MP18190/2025-2026/192020,137963.0,1,1,0,0,0.0,96,,1.0,,2025-08-02,399,False,False,False,False,False,False,False,False,False
WS/MP18191/2025-2026/248726,249260.0,1,1,0,0,0.0,33,263,1.0,1.0,2026-06-13,84,False,False,False,False,False,False,False,False,False
WS/MP18189/2026-2027/260080,,0,0,0,0,0.0,170,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18190/2026-2027/212746,174367.0,1,1,0,0,0.0,323,,0.9963828571428571,,2026-05-19,109,False,False,False,False,False,False,False,False,False
WS/MP18386/2024-2025/160114,3870000.0,1,1,0,0,0.0,4,228,1.0,1.0,2025-08-04,397,False,False,False,False,False,False,False,False,False
WS/MP770/2025-2026/181185,1050000.0,2,1,0,0,0.0,63,,1.0,,2025-05-22,471,False,False,False,False,False,False,False,False,False
WS/MP18393/2026-2027/169149,493131.0,1,1,0,0,0.0,512,563,0.986262,0.986262,2026-08-17,19,False,False,False,False,False,False,False,False,False
WS/MP762/2025-2026/200885,4607245.0,2,1,0,0,0.0,53,,0.8998525390625,,2026-06-19,78,False,False,False,False,False,False,False,False,False
WS/MP18193/2026-2027/188611,334245.0,1,1,0,0,0.0,380,478,0.9549857142857143,0.9549857142857143,2026-06-23,74,False,False,False,False,False,False,False,False,False
WS/MP18188/2025-2026/222527,,0,0,0,0,0.0,24,222,,,,,False,False,False,True,False,False,False,False,False
WS/MP18194/2026-2027/299772,493391.0,1,1,0,0,0.0,5,,0.986782,,2026-08-05,31,False,False,False,False,False,False,False,False,False
WS/MP18192/2026-2027/277608,199529.0,1,1,0,0,0.0,69,,0.997645,,2026-06-18,79,False,False,False,False,False,False,False,False,False
WS/MP18389/2024-2025/163828,,0,0,0,0,0.0,28,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18388/2026-2027/182835,,0,0,0,0,0.0,502,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18189/2026-2027/260078,499623.0,1,1,0,0,0.0,170,,0.999246,,2026-08-27,9,False,False,False,False,False,False,False,False,False
WS/MP18386/2025-2026/210955,500000.0,1,1,0,0,0.0,40,108,1.0,1.0,2025-10-07,333,False,False,False,False,False,False,False,False,False
WS/MP18188/2025-2026/208337,487552.0,1,1,0,0,0.0,16,,0.975104,,2026-07-07,60,False,False,False,False,False,False,False,False,False
WS/MP18389/2026-2027/161132,199222.0,1,1,0,0,0.0,506,590,0.99611,0.99611,2026-05-20,108,False,False,False,False,False,False,False,False,False
WS/MP18193/2026-2027/280672,,0,0,0,0,0.0,103,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18193/2025-2026/219872,685445.0,1,1,0,0,0.0,179,,0.685445,,2026-06-24,73,False,False,False,False,False,False,False,False,False
WS/MP18192/2025-2026/192696,419668.0,1,1,0,0,0.0,14,,0.9992095238095238,,2025-05-26,467,False,False,False,False,False,False,False,False,False
WS/MP18188/2025-2026/204119,197355.0,1,1,0,0,0.0,25,,0.986775,,2026-07-07,60,False,False,False,False,False,False,False,False,False
WS/MP761/2026-2027/191976,,0,0,0,0,0.0,458,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18388/2025-2026/188590,444206.0,1,1,0,0,0.0,150,,0.888412,,2025-08-29,372,False,False,False,False,False,False,False,False,False
WS/MP18386/2025-2026/234902,499017.0,1,1,0,0,0.0,132,212,0.998034,0.998034,2026-04-17,141,False,False,False,False,False,False,False,False,False
WS/MP18389/2025-2026/185705,297566.0,1,1,0,0,0.0,123,254,1.0,1.0,2025-12-02,277,False,False,False,False,False,False,False,False,False
WS/MP18189/2025-2026/163129,800000.0,1,1,0,0,0.0,1,,1.0,,2025-05-17,476,False,False,False,False,False,False,False,False,False
WS/MP18190/2026-2027/186752,290676.0,1,1,0,0,0.0,525,,0.867689552238806,,2026-09-03,2,False,False,False,False,False,False,False,False,False
