work_id,lok_sabha,state,constituency,mp_name,work_category,work,work_description,ida,recommended_date,recommended_amount,sanction_date,sanction_amount,work_status,completion_date,amount_disbursed,data_notes
WS/MP765/2025-2026/232937,,Telangana,SECUNDERABAD,Kishan Reddy Gangapuram,Normal/Others,Construction of additional rooms and halls in the existing public and community building,"First floor building construction at Dr.Ambedkar Community Hall, Ahmed Nagar division.",HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA),2025-09-11,1900000.0,2026-02-09,1900000.0,Sanction,,,
WS/MP770/2025-2026/241347,,Telangana,KARIMNAGAR,Sanjay Kumar Bandi,Normal/Others,Installing tube-wells and borewells,Drilling of Bore well and Pump set in Sy.No.1193 of Repaka (V) Illanthakunta (M),RAJANNA SIRCILLA(DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA),2025-10-10,200000.0,2026-03-09,200000.0,Sanction,,,
WS/MP18386/2025-2026/229827,,Telangana,NALGONDA,KUNDURU RAGHUVEER,Normal/Others,Construction of bus-sheds or bus-stops,Bus Stand construction at Gurrampode Village (Bit-1),NALGONDA(DISTRICT COLLECTOR NALGONDA),2025-08-28,400000.0,2025-11-20,400000.0,Sanction,,,
WS/MP18193/2025-2026/149453,,Telangana,MALKAJGIRI,EATALA RAJENDER,Normal/Others,Providing drains and gutters for public drainage,"Laying of 300 mm dia SWG main line from H.No. 2-10-175/1 to 2-10-175/15, Hare Krishna Colony under Macha Bollaram Section.",MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA),2024-10-25,1000000.0,2025-12-16,1000000.0,Physical Inspection,2026-02-05,,
WS/MP18386/2025-2026/220050,,Telangana,NALGONDA,KUNDURU RAGHUVEER,Repair and Renovation,"Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",Renovation and repair of R B Guest House at Prakasham Bazar Nalgonda,NALGONDA(DISTRICT COLLECTOR NALGONDA),2025-07-19,398401.0,2025-11-12,398401.0,Physical Inspection,2025-12-12,398401.0,
WS/MP18338/2025-2026/220045,,Telangana,BHONGIR,CHAMALA KIRAN KUMAR REDDY,Normal/Others,Construction of community centers and community halls,Balance work for community Hall of D REPAKA GP in Addagudur Mandal of Yadadri Bhongir District,YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA),2025-07-19,500000.0,2025-08-30,500000.0,Physical Inspection,,,
WS/MP18389/2025-2026/213468,,Telangana,WARANGEL(SC),KADIYAM KAVYA,Trust and Society,Setting up of laboratories,SRTTING UP OF SCIENCE LABORATORY AT ZPHS THIMMAMPET VILLAGE OF ZAFFERGADH MANDAL,JANGOAN(DISTRICT COLLECTOR JANGAON_IDA),2025-06-30,356370.0,2026-02-12,356370.0,Work Completed,2026-02-12,356370.0,
WS/MP18188/2025-2026/219358,,Telangana,CHELVELLA,KONDA VISHWESHWAR REDDY,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Laying of CC Road from Chirapagari Prashanth (H) to Doddi Mallesham (H) at Parveda Village, Shankerpally Mandal",RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),2025-07-17,211830.0,2025-08-19,211830.0,Physical Inspection,2026-05-04,211830.0,
WS/MP770/2026-2027/188830,,Telangana,KARIMNAGAR,Sanjay Kumar Bandi,Normal/Others,Installing tube-wells and borewells,Drilling of Bore well and Pump set Near H.No. 2-50 by 1 of Kannaram (V) of Valair (M),HANUMAKONDA(DISTRICT COLLECTOR HANUMAKONDA_IDA),2025-04-02,200000.0,2026-06-24,200000.0,Physical Inspection,,,
WS/MP18191/2025-2026/234927,,Telangana,MAHABUBNAGAR,ARUNA. D. K,Normal/Others,Construction of common work sheds/ common covered sitting area,Construction of common work shed near Thirumalanatha Swamy Temple at Thirumaladevunipalle (V) of Thirumalapur GP,Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA),2025-09-17,1000000.0,2026-01-17,1000000.0,Physical Inspection,,,
WS/MP18191/2025-2026/185795,,Telangana,MAHABUBNAGAR,ARUNA. D. K,Normal/Others,Lighting of public spaces,Erection of High Mast with LED Flood Lights at Pedripahad (V),Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA),2025-03-24,250000.0,2025-06-24,250000.0,Work Completed,2025-07-02,249771.0,
WS/MP18187/2025-2026/189988,,Telangana,ADILABAD(ST),GODAM NAGESH,Normal/Others,Construction of community centers and community halls,Construction of Community Hall at Naikpod Colony Gundampalle village,Nirmal(DISTRICT COLLECTOR NIRMAL_3),2025-04-08,500000.0,2025-07-15,500000.0,Time Estimation,,,
WS/MP18194/2025-2026/236886,,Telangana,ZAHIRABAD,SURESH KUMAR SHETKAR,Normal/Others,"Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Purchase of Tri scooter or Three wheeler Scooter for Mr.Chakali Betaiah, son of Chakali Durgaiah,, Kollapalle Village, Shankarampet A Mandal, Medak district",MEDAK(COLLECTOR MEDAK DISTRICT),2025-09-23,138221.0,2026-01-31,138221.0,Work Completed,2026-05-02,130165.0,
WS/MP18190/2025-2026/192020,,Telangana,MAHABUBABAD,BALRAM NAIK PORIKA,Normal/Others,Improvement of electricity distribution infrastructure,"Execution of ORC Work load of 1KW- E S GP Secretary, B.Krishna, Parvathamma Gudem",MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA),2025-04-19,137963.0,2025-07-24,137963.0,Vendor Identification,,,
WS/MP18191/2025-2026/248726,,Telangana,MAHABUBNAGAR,ARUNA. D. K,Normal/Others,Lighting of public spaces,Erection of High Mast with LED Flood Lights near Bus stand in Jakaram (V),RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),2025-11-17,249260.0,2025-12-20,249260.0,Physical Inspection,2026-08-07,249260.0,
WS/MP18189/2026-2027/260080,,Telangana,KHAMMAM,RAMASAHAYAM RAGHURAM REDDY,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of CC Road from Paddam Narayana house to Tejavath Babu house, Gurramgudem",BHADRADRI KOTHAGUDEM(District Collector Bhadradri Ktdm_IDA),2026-02-28,500000.0,2026-08-17,500000.0,Sanction,,,
WS/MP18190/2026-2027/212746,,Telangana,MAHABUBABAD,BALRAM NAIK PORIKA,Normal/Others,Street lights,Installation of 6 arms High mast flood light at Akula Yakaiah house in Nellikudur GP,MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA),2025-06-26,175000.0,2026-05-15,175000.0,Work partially Completed,,,
WS/MP18386/2024-2025/160114,,Telangana,NALGONDA,KUNDURU RAGHUVEER,Trust and Society,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Procurement and Supply of Phaco Machine to TKV Rangacharyulu & Ranganayakamma Lions Eye Hospital, Miryalaguda",NALGONDA(DISTRICT COLLECTOR NALGONDA),2024-12-19,3870000.0,2024-12-23,3870000.0,Physical Inspection,2025-08-04,3870000.0,
WS/MP770/2025-2026/181185,,Telangana,KARIMNAGAR,Sanjay Kumar Bandi,Normal/Others,Purchase of hospital equipment,"Supply of Care Stream Focus 35C Machine to Government General Hospital, Karimnagar",KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA),2025-03-12,1050000.0,2025-05-14,1050000.0,Vendor Identification,,,
WS/MP18393/2026-2027/169149,,Telangana,MEDAK,MADHAVANENI RAGHUNANDAN RAO,Normal/Others,Construction of boundary walls of existing public and community buildings,Construction of Compound wall to Reddy Community Hall in ward no 14 in Dubbak Municipality,SIDDIPET(District Collector Siddipet_IDA),2025-01-28,500000.0,2026-06-24,500000.0,Physical Inspection,2026-08-14,493131.0,
WS/MP762/2025-2026/200885,,Telangana,HYDERABAD,Asaduddin Owaisi,Normal/Others,Construction of community centers and community halls,"Construction of Multipurpose Community Hall in 1sr Floor at Press Colony, Champapet in Yakutpura, Assembly Constituency",HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA),2025-05-19,5120000.0,2025-07-11,5120000.0,Vendor Identification,,,
WS/MP18193/2026-2027/188611,,Telangana,MALKAJGIRI,EATALA RAJENDER,Normal/Others,Installing tube-wells and borewells,"Drilling of Borewell with motor, near Siddhi Vinayaka Temple, Yadav Nagar, Gouthamnagar, Division No. 141, Malkajgiri Circle-28, Secunderabad Zone",MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA),2025-04-01,350000.0,2026-04-16,350000.0,Physical Inspection,2026-07-23,334245.0,
WS/MP18188/2025-2026/222527,,Telangana,CHELVELLA,KONDA VISHWESHWAR REDDY,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Laying of CC Road from Old Grampanchayat to Mosque at Debbadaguda (V) of Kandukur (M),RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),2025-07-26,500000.0,2025-08-19,500000.0,Work Completed,2026-03-05,,
