work_id,lok_sabha,state,constituency,mp_name,work_category,work,work_description,ida,recommended_date,recommended_amount,sanction_date,sanction_amount,work_status,completion_date,amount_disbursed,data_notes
WS/MP478/2025-2026/176954,,Uttarakhand,TEHRI GARHWAL,Mala Rajya Laxmi Shah,Trust and Society,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","TELEMEDICINE SERVICS IN DISTIRICT TEHRI GARHWAL,",TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),2025-03-11,5000000.0,2025-05-02,5000000.0,Work partially Completed,,,
WS/MP478/2025-2026/234630,,Uttarakhand,TEHRI GARHWAL,Mala Rajya Laxmi Shah,Trust and Society,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Medical Health Camp in District Tehri Garhwal, (Working Agency Society Of People for Development) SPD,",TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),2025-09-28,5000000.0,2025-10-25,5000000.0,Sanction,,,
WS/MP477/2026-2027/279787,,Uttarakhand,ALMORA(SC),Ajay Tamta,Repair and Renovation,Construction of public irrigation facilities,Vikaskhand Chaukhutiya ke Jethuwa tok Purana Dang me kshtigrast Gul ke marmmat kary hetu (Karydai Sanstha Vikaskhand Chaukhutiya),ALMORA(DISTRICT MAGISTRATE ALMORA_IDA),2026-05-07,250000.0,2026-08-06,250000.0,Time Estimation,,,
WS/MP477/2025-2026/206271,,Uttarakhand,ALMORA(SC),Ajay Tamta,Repair and Renovation,Improvement of electricity distribution infrastructure,"Vin Block ke gram kasani main mini audyogik sansthan vin main vidhyut Pol, under ground cable shifting wa vidhyut sanyojan hetu (Karydai Sastha Adhishasi Abhiyanta Vidhyut Vitaran khand Pithoragarh)","PITHORAGARH(NRLM , pithoragarh)",2025-06-03,464802.0,2025-09-23,464802.0,Work partially Completed,,,
WS/MP477/2024-2025/180823,,Uttarakhand,ALMORA(SC),Ajay Tamta,Repair and Renovation,Construction of rooms and halls in school and colleges,Vipin Chandra Tripathi Kumaun engineering college Dwarahat main esthit Kendriya Vidhyalay ke asthai bhawan main maintenance kary hetu (Karydai Sastha Vikaskhand Dwarahat),ALMORA(DISTRICT MAGISTRATE ALMORA_IDA),2025-03-10,500000.0,2025-03-18,500000.0,Work Completed,2026-03-16,454574.0,
WS/MP477/2026-2027/279791,,Uttarakhand,ALMORA(SC),Ajay Tamta,Repair and Renovation,Providing supply pipelines for drinking water,Vikaskhand Chaukhutiya ke Gram Dhnar me malla Pani payjal yojna ka marmmat kary (Karydai Sanstha Vikaskhand Chaukhutiya),ALMORA(DISTRICT MAGISTRATE ALMORA_IDA),2026-05-07,150000.0,2026-08-06,150000.0,Time Estimation,,,
WS/MP18415/2026-2027/269589,,Uttarakhand,HARDWAR,TRIVENDRA SINGH RAWAT,Repair and Renovation,Improvement of electricity distribution infrastructure,"Bishan Garh Bhogpur, Doiwala me LT Line shifting (IA EEUPCL, Doiwala)",DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA),2026-02-19,45990.0,2026-04-20,45990.0,Sanction,,,
WS/MP477/2025-2026/197676,,Uttarakhand,ALMORA(SC),Ajay Tamta,Repair and Renovation,Development of public parks,Panchmukhi Balajee Hanuman Mandir ke sameep esthal vikas kary hetu(karydai sastha vikaskhand Gangolihat),"PITHORAGARH(NRLM , pithoragarh)",2025-05-08,200000.0,2025-09-25,200000.0,Physical Inspection,2026-02-07,200000.0,
WS/MP18415/2025-2026/206280,,Uttarakhand,HARDWAR,TRIVENDRA SINGH RAWAT,Repair and Renovation,Improvement of electricity distribution infrastructure,Shifting of 11kv line (IA EE electricity D D Raipur Dehradun),DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA),2025-06-03,646193.0,2025-10-13,646193.0,Sanction,,,
WS/MP021/2025-2026/192575,,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Ajay Bhatt,Repair and Renovation,"Construction of roads, link roads, pathways or any other road with or without drainage system",Janpad Nainital ke antargat gram Bharatpur number 01 vikaskhand Haldwani jaj Ki Kothi se Tulsi Kathat Ke Ghar Tak Kisi Nirman kary hetu,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),2025-04-21,497424.0,2025-08-06,497424.0,Physical Inspection,2025-09-18,497424.0,
WS/MP18415/2026-2027/269632,,Uttarakhand,HARDWAR,TRIVENDRA SINGH RAWAT,Repair and Renovation,Construction of community centers and community halls,"garhwal sabha bhawan, Roorkee haridwar ka Repair and Renovation (IA RWD Haridwar)",HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA),2026-02-19,1500000.0,2026-06-24,1500000.0,Sanction,,,
